species,n_presence,Random Forest,Gradient Boosting,Logistic Regression,ensemble_auc
Bactrocera dorsalis,1499,0.7216658661950858,0.7036394525356172,0.6869289565885037,0.7376414491157653
Bactrocera oleae,481,0.9901034619386969,0.9873831230876524,0.9837724810038619,0.9897833528581641
Zeugodacus tau,435,0.8122642262370945,0.7697442878419272,0.7598467677489915,0.8193705751822762
Bactrocera cucurbitae,428,0.7040476377725522,0.669929623864586,0.6396418283904985,0.6996251193849352
Bactrocera tryoni,244,0.919471329437813,0.9041620169637046,0.8367703202490038,0.9050278404713958
