species,n_presence,auc,auc_std
Bactrocera dorsalis,1499,0.8736321464537848,0.04873216519522679
Bactrocera oleae,481,0.9656817217907161,0.011180875912907413
Zeugodacus tau,435,0.8547480177245594,0.030940624357140723
Bactrocera cucurbitae,428,0.8243687289567123,0.030704608663542757
Bactrocera tryoni,244,0.9474884780132091,0.010829465004870191
